sentence,prediction,wer_sample,cer_sample
Eşq şeirlərindən əlavə din və təsəvvüf ilə bağlı şeirləri də vardır.,Eşk şəhirlərindən ələvə din və təsəvüf ilə bağlı şeyləri də vardır.,0.45454545454545453,0.1044776119402985
Orta məktəbi bitirdikdən sonra Ukraynanın Lvov şəhərində hərbi xidmətdə olmuşdur.,Orta məktəbdə bitirdikdən sonra Ukraynanın Lubov şəhərində hərbi xidmətdə olmuşdur.,0.2,0.05
Hal hazırda Xəzər kanalında prodüser olaraq işinə davam edir.,Hal-hazırda Xəzər kanalında produsör olaraq işinə dəvam edir.,0.4444444444444444,0.06666666666666667
Təpə Antarktidada yerləşən Start burnunun adını daşıyır.,Təpə Antarktidada yerləşən start qurumunun adını taşıyır.,0.2857142857142857,0.07272727272727272
Lənkəran şəhərində dəfn olunub.,Lənkənan şəhərində dəfnə olub.,0.75,0.13333333333333333
Onların qalıqlarına Çin və Özbəkistan ərazilərində aşkarlanmışdır.,Onların qalqlarına cimrək özbək istənələzivərinlər şəhvəlini çıxdır.,0.8571428571428571,0.36923076923076925
Ətrafdakı ərazilərlə müqayisədə dumanlı və qar örtüyü olan günlərin sayı daha çoxdur.,Etrafdakı ərazilə ilə müqayisədə dumanlı və qar rüfi olan günlərin sayıq daha çoxdur.,0.4166666666666667,0.09523809523809523
Yeni Azərbaycan Partiyasının fəal üzvüdür.,Yeni Azərbaycan partiyasının fəal özüdür.,0.2,0.04878048780487805
Qədim alban tarixinin izləri bu ərazidə bir çox yerlərdə var.,Bədən albam tarixinin izləri xəzətə çox yerlərə var.,0.6,0.26666666666666666
Kəndin yerində müasir qəsəbənin inşası planlaşdırılırdı.,Kəndim yerində muasir qasəbanin inşası planləşdirilirdi.,0.6666666666666666,0.16363636363636364
Sakinlər tarixi abidələrə çox həssaslıqla yanaşırlar.,Təkinlər tarixi abidələrə çox həsəlsəq yanaşılır.,0.5,0.19230769230769232
Rusiyaya qayıtdıqdan sonra teatr və kino sahəsində çalışmışdır.,Rusiya qaytdaqdan sonra tiyatr vəkiyənin sahnesini çalışmışdız.,0.875,0.25806451612903225
Papanın xahişini qəbul edən Attila geri döndü.,Qabanın xayişliyini qəbul edən Atilla geri döndü.,0.42857142857142855,0.17777777777777778
İdman həyatı başa çatdıqdan sonra Torpe ailəsini saxlamaq üçün çalışmışdır.,İdman həyatı barət çatdıktan sonra Torpə ailesini saxmamak üçün çalışmışdır.,0.5,0.12162162162162163
Jurnalistlər hekayələrinin əyləncəli hala gəlməsinə səbəb olan müəyyən bir məsələdə faktlar ata bilərlər.,Jurnalistlər hekayələrinin eyləncəli halə gəlməsin səbəb ola müəyyən bir məsələdə faktor atarlarlar.,0.5384615384615384,0.10576923076923077
Onu Ran Min adlı qardaşlığı öldürmüşdü.,Onuram min adı qardaşlığı öldürmüşdü.,0.5,0.07894736842105263
Yarada iki əsas dəyişiklik baş verir.,Yarada iki səs dəyişiklik baş verir.,0.16666666666666666,0.05555555555555555
Komsomol gölü yaxınlığında yerləşən mərkəzdən kifayət qədər aralıda yerləşir.,Qabsomol gölü yaxınqında yeldəşən mərkəzdən kifayət qədər aralda yeldəşir.,0.5555555555555556,0.14473684210526316
Film iki seriyadan ibarətdir.,Film 2 seriyadan ibarətdir.,0.25,0.10714285714285714
Bunun səbəbləri müxtəlifdir.,Bunun səbəbləri müxtəlifdir.,0.0,0.0
Bəyazid taxta keçdikdən sonra İshaq Paşanı yenidən sədrəzəm seçdi.,Beyazid taxta çəstikdən sonra Hesak Paşa nı yenidən Södrəzəm seçdi.,0.6666666666666666,0.16923076923076924
Salar təxəllüsü ilə ruh aləminə uyğun şeirlər yazırdı.,Salar təxəllüsü ilə ruhu aləminə uyğun şeyrlər yazırdı.,0.25,0.03773584905660377
Cavabında kazaklar narazı şəxsləri quyuya ataraq öldürdülər.,Cəvabında qazaklar nərazi şəhsləri quyuya ataraq öldürdülər.,0.5714285714285714,0.0847457627118644
Netflix nədir?,Netflix nədir?,0.0,0.0
Müsabiqədən sonra onu artıq hamı tanımağa başlayır.,müsabiqədən sonra onu artıxamı tanımağa başlayır.,0.2857142857142857,0.06
İnsanlar və heyvanların bitkilərlə zəhərlənməsi müxtəlif səbəblərdən baş verə bilər.,İnsanlar və heyvanların bitkilərlə zəhərlənməsi müxtəlif səhəblərdən baş verə bilər.,0.1,0.012048192771084338
Həmin il Yaponiya Misirin müstəqilliyini tanımışdır.,Həmin il Yaponya-Misirin müstəqiliyini tanımışdır.,0.5,0.058823529411764705
Beş uşaq atası idi.,5 uşaq atasaydı.,0.75,0.3888888888888889
Film Türkiyə yazıçısı Nazim Hikmətin eyniadlı əsərinin motivləri əsasında yaradılmışdır.,Film Türkiyə yazısı Nazim Hicmətin yeni adlı əsrinin motivləri əsasında yaradılmışdır.,0.5,0.08045977011494253
Yuxarı axarlarda bataqlaşmış ərazidən axır və suyu dayaz olur.,Yuxarı axarlarda bataklaşmış ərazidən axır və suyu dayaz olur.,0.1111111111111111,0.01639344262295082
Ölkə ərazisindən axan Niger çayının adı ilə adlanır.,Ölkə hər aizisində axan Nijertayının adı ilə adlanır.,0.5,0.13725490196078433
Elə orta məktəbi də həmin kənddə bitirib.,elə orta məştəbi də həmin çənddə bitirib.,0.2857142857142857,0.05
